stn,wban,c,year
031000,99999,297,1986
030220,99999,296,1985
039170,99999,296,1984
039620,99999,296,1994
030080,99999,296,1998
990180,99999,296,1985
030080,99999,296,1993
039700,99999,296,1992
039800,99999,296,1982
030660,99999,296,1990
039530,99999,296,1992
039700,99999,296,1981
039620,99999,296,1999
689940,99999,296,1984
689060,99999,296,1996
912850,21504,295,1991
031620,99999,295,1986
039170,99999,295,1981
030220,99999,295,1984
030250,99999,295,1987
030750,99999,295,1983
030750,99999,295,1989
030660,99999,295,1994
039530,99999,294,1985
039520,99999,294,1986
033020,99999,294,1998
912850,21504,294,1986
031600,99999,294,1986
030030,99999,294,1994
039620,99999,294,1992
030630,99999,294,1994
031000,99999,294,1989
039620,99999,294,1982
030630,99999,294,1992
912180,99999,294,1988
030040,99999,294,1983
030680,99999,293,1985
689940,99999,293,1992
039700,99999,293,1994
030080,99999,293,1983
912850,21504,293,1985
030080,99999,293,1984
479180,99999,293,1985
913340,40505,293,1990
912180,99999,293,1987
913480,40504,293,1987
689060,99999,293,1998
039170,99999,293,1993
039740,99999,293,1986
031620,99999,293,1992
030080,99999,293,1995
031400,99999,293,1992
912120,41415,293,1992
031620,99999,293,1994
031620,99999,293,1990
689940,99999,293,1991
914080,40309,292,1989
949980,99999,292,1992
039170,99999,292,1999
031000,99999,292,1984
913480,40504,292,1994
912850,21504,292,1987
039170,99999,292,1990
030260,99999,292,1987
030910,99999,292,1985
912180,99999,292,1993
949980,99999,292,1982
039670,99999,291,1998
039530,99999,291,1995
913340,40505,291,1988
949980,99999,291,1994
039690,99999,291,1986
913340,40505,291,1991
039700,99999,291,1982
013110,99999,291,1989
912850,21504,291,1993
039530,99999,291,1988
039760,99999,291,1991
821930,99999,291,1990
911760,22519,291,1982
030680,99999,291,1983
031000,99999,291,1987
039200,99999,291,1998
030750,99999,290,1982
031350,99999,290,1992
912120,41415,290,1984
031000,99999,290,1995
039640,99999,290,1983
031110,99999,290,1994
031350,99999,290,1988
913480,40504,290,1997
704540,25704,290,1993
060110,99999,290,1994
039700,99999,290,1986
030250,99999,290,1984
039760,99999,290,1984
689940,99999,290,1981
039170,99999,290,1982
039170,99999,290,1989
039550,99999,290,1994
030040,99999,290,1986
479180,99999,290,1988
704540,25704,290,1990
859300,99999,290,1998
032570,99999,290,1998
030010,99999,289,1992
913340,40505,289,1999
030250,99999,289,1995
039800,99999,289,1984
039620,99999,289,1983
039620,99999,289,1981
038170,99999,289,1982
912120,41415,289,1989
030750,99999,289,1985
030660,99999,289,1986
039800,99999,289,1987
039800,99999,289,1991
689060,99999,289,1999
718980,99999,289,1999
039700,99999,289,1988
039600,99999,289,1986
949980,99999,289,1996
039170,99999,289,1991
949980,99999,289,1984
039550,99999,289,1986
859300,99999,288,1981
859720,99999,288,1997
704540,25704,288,1989
030680,99999,288,1986
030630,99999,288,1999
103210,99999,288,1998
859300,99999,288,1999
039640,99999,288,1982
859720,99999,288,1999
990180,99999,288,1984
030750,99999,288,1984
039710,99999,288,1986
031360,99999,288,1998
913480,40504,288,1992
917650,61705,288,1988
034140,99999,288,1998
031400,99999,288,1990
704540,25704,287,1982
939440,99999,287,1990
990080,99999,287,1982
039700,99999,287,1983
039740,99999,287,1981
030660,99999,287,1992
912120,41415,287,1988
060110,99999,287,1992
912850,21504,287,1989
030490,99999,287,1989
949980,99999,287,1989
039550,99999,287,1998
037150,99999,287,1982
030750,99999,287,1987
039690,99999,287,1998
039740,99999,287,1983
689940,99999,286,1988
030660,99999,286,1988
912180,99999,286,1991
030680,99999,286,1988
031400,99999,286,1983
913340,40505,286,1986
031140,99999,286,1992
013110,99999,286,1990
031600,99999,286,1998
711090,99999,286,1999
912850,21504,286,1992
711010,99999,286,1984
039760,99999,286,1996
030080,99999,286,1991
030490,99999,286,1992
102000,99999,286,1998
689060,99999,285,1986
030040,99999,285,1987
039640,99999,285,1981
031350,99999,285,1983
030910,99999,285,1983
030080,99999,285,1985
912180,99999,285,1992
030280,99999,285,1988
031620,99999,285,1988
821930,99999,285,1989
039530,99999,285,1990
039530,99999,285,1987
031350,99999,284,1986
033340,99999,284,1998
039760,99999,284,1997
913340,40505,284,1996
031000,99999,284,1991
030630,99999,284,1991
060110,99999,284,1998
031000,99999,284,1985
039620,99999,284,1988
030680,99999,284,1987
039170,99999,284,1985
038080,99999,284,1994
030630,99999,284,1985
060110,99999,283,1993
031140,99999,283,1988
689940,99999,283,1986
990180,99999,283,1986
039020,99999,283,1994
914080,40309,283,1999
917650,61705,283,1981
039740,99999,283,1988
060090,99999,283,1983
718990,25343,283,1999
030490,99999,283,1986
039620,99999,283,1987
031000,99999,283,1996
964130,99999,283,1988
039710,99999,283,1981
039690,99999,283,1994
039640,99999,283,1988
031710,99999,283,1986
949980,99999,283,1995
030910,99999,283,1988
031600,99999,283,1988
030010,99999,283,1989
031620,99999,283,1999
039530,99999,282,1984
039550,99999,282,1982
030630,99999,282,1989
704540,25704,282,1991
912850,21504,282,1983
030630,99999,282,1993
031350,99999,282,1981
039530,99999,282,1991
689940,99999,282,1993
030660,99999,282,1981
039690,99999,282,1981
039530,99999,282,1983
060110,99999,282,1996
031000,99999,282,1997
060100,99999,282,1993
789250,99999,282,1993
711070,25342,282,1984
912120,41415,282,1994
030010,99999,282,1990
030240,99999,281,1992
032400,99999,281,1998
030660,99999,281,1997
039800,99999,281,1997
030660,99999,281,1993
703160,25624,281,1993
030080,99999,281,1994
949980,99999,281,1988
039740,99999,281,1990
703950,25325,281,1999
030220,99999,281,1992
030630,99999,281,1983
913340,40505,281,1993
689060,99999,281,1982
060110,99999,281,1989
039020,99999,281,1998
030490,99999,281,1988
030130,99999,281,1989
039620,99999,280,1985
030040,99999,280,1984
704540,25704,280,1985
030660,99999,280,1995
913340,40505,280,1985
031600,99999,280,1990
913480,40504,280,1998
014150,99999,280,1990
030660,99999,280,1989
035020,99999,280,1998
039170,99999,280,1995
031600,99999,280,1985
